exp,H,beta,m,V
324,0.01,4.71238898038469,0.7325,4.73684210526316
325,0.01,4.71238898038469,0.7325,5.11578947368421
326,0.01,4.71238898038469,0.7325,5.49473684210526
327,0.01,4.71238898038469,0.7325,5.87368421052632
328,0.01,4.71238898038469,0.7325,6.25263157894737
329,0.01,4.71238898038469,0.7325,6.63157894736842
330,0.01,4.71238898038469,0.7325,7.01052631578947
331,0.01,4.71238898038469,0.7325,7.38947368421053
332,0.01,4.71238898038469,0.7325,7.76842105263158
333,0.01,4.71238898038469,0.7325,8.14736842105263
334,0.01,4.71238898038469,0.7325,8.52631578947368
335,0.01,4.71238898038469,0.7325,8.90526315789474
336,0.01,4.71238898038469,0.7325,9.28421052631579
337,0.01,4.71238898038469,0.7325,9.66315789473684
338,0.01,4.71238898038469,0.7325,10.0421052631579
339,0.01,4.71238898038469,0.7325,10.4210526315789
340,0.01,4.71238898038469,0.7325,10.8
341,0.01,4.71238898038469,0.9379,3.6
342,0.01,4.71238898038469,0.9379,3.97894736842105
343,0.01,4.71238898038469,0.9379,4.35789473684211
344,0.01,4.71238898038469,0.9379,4.73684210526316
345,0.01,4.71238898038469,0.9379,5.11578947368421
346,0.01,4.71238898038469,0.9379,5.49473684210526
347,0.01,4.71238898038469,0.9379,5.87368421052632
348,0.01,4.71238898038469,0.9379,6.25263157894737
349,0.01,4.71238898038469,0.9379,6.63157894736842
350,0.01,4.71238898038469,0.9379,7.01052631578947
351,0.01,4.71238898038469,0.9379,7.38947368421053
352,0.01,4.71238898038469,0.9379,7.76842105263158
353,0.01,4.71238898038469,0.9379,8.14736842105263
354,0.01,4.71238898038469,0.9379,8.52631578947368
355,0.01,4.71238898038469,0.9379,8.90526315789474
356,0.01,4.71238898038469,0.9379,9.28421052631579
357,0.01,4.71238898038469,0.9379,9.66315789473684
358,0.01,4.71238898038469,0.9379,10.0421052631579
359,0.01,4.71238898038469,0.9379,10.4210526315789
360,0.01,4.71238898038469,0.9379,10.8
361,0.01,4.71238898038469,1.1238,3.6
362,0.01,4.71238898038469,1.1238,3.97894736842105
363,0.01,4.71238898038469,1.1238,4.35789473684211
364,0.01,4.71238898038469,1.1238,4.73684210526316
365,0.01,4.71238898038469,1.1238,5.11578947368421
366,0.01,4.71238898038469,1.1238,5.49473684210526
367,0.01,4.71238898038469,1.1238,5.87368421052632
368,0.01,4.71238898038469,1.1238,6.25263157894737
369,0.01,4.71238898038469,1.1238,6.63157894736842
370,0.01,4.71238898038469,1.1238,7.01052631578947
